course_code,url
CS 10100,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=10100&enhanced=Y
CS 15900,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=15900&enhanced=Y
CS 17600,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=17600&enhanced=Y
CS 17700,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=17700&enhanced=Y
CS 18000,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=18000&enhanced=Y
CS 18200,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=18200&enhanced=Y
CS 19000-002,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=19000&enhanced=Y
CS 19700,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=19700&enhanced=Y
CS 21100,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=21100&enhanced=Y
CS 24000,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=24000&enhanced=Y
CS 24200,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=24200&enhanced=Y
CS 24300,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=24300&enhanced=Y
CS 25000,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=25000&enhanced=Y
CS 25100,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=25100&enhanced=Y
CS 25200,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=25200&enhanced=Y
CS 25300,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=25300&enhanced=Y
CS 30700,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=30700&enhanced=Y
CS 31100,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=31100&enhanced=Y
CS 33400,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=33400&enhanced=Y
CS 34800,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=34800&enhanced=Y
CS 35100,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=35100&enhanced=Y
CS 35200,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=35200&enhanced=Y
CS 35400,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=35400&enhanced=Y
CS 35500,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=35500&enhanced=Y
CS 36100,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=36100&enhanced=Y
CS 37300,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=37300&enhanced=Y
CS 38003,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=38003&enhanced=Y
CS 38100,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=38100&enhanced=Y
CS 39000-AF1,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=39000&enhanced=Y
CS 39000-AF2,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=39000&enhanced=Y
CS 39000-AF3,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=39000&enhanced=Y
CS 40700,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=40700&enhanced=Y
CS 40800,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=40800&enhanced=Y
CS 41100,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=41100&enhanced=Y
CS 42200,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=42200&enhanced=Y
CS 42600,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=42600&enhanced=Y
CS 44000,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=44000&enhanced=Y
CS 44100,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=44100&enhanced=Y
CS 44800,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=44800&enhanced=Y
CS 45800,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=45800&enhanced=Y
CS 47100,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=47100&enhanced=Y
CS 47500,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=47500&enhanced=Y
CS 48900,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=48900&enhanced=Y
CS 49000-NLP,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=49000&enhanced=Y
CS 49000-SWS,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=49000&enhanced=Y
CS 49700,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=49700&enhanced=Y
CS 15900,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=15900&enhanced=Y
CS 18000,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=18000&enhanced=Y
CS 18200,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=18200&enhanced=Y
CS 21100,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=21100&enhanced=Y
CS 24000,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=24000&enhanced=Y
CS 25000,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=25000&enhanced=Y
CS 25100,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=25100&enhanced=Y
CS 25200,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=25200&enhanced=Y
CS 25300,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=25300&enhanced=Y
CS 30700,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=30700&enhanced=Y
CS 34800,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=34800&enhanced=Y
CS 36100,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=36100&enhanced=Y
CS 38003,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=38003&enhanced=Y
CSCI 31700,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CSCI&cnbr=31700&enhanced=Y
CSCI 36300,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CSCI&cnbr=36300&enhanced=Y
CSCI 40300,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CSCI&cnbr=40300&enhanced=Y
CSCI 41400,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CSCI&cnbr=41400&enhanced=Y
CSCI 43200,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CSCI&cnbr=43200&enhanced=Y
CSCI 44300,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CSCI&cnbr=44300&enhanced=Y
CSCI 44800,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CSCI&cnbr=44800&enhanced=Y
CSCI 48100,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CSCI&cnbr=48100&enhanced=Y
CSCI 48400,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CSCI&cnbr=48400&enhanced=Y
CSCI 48900,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CSCI&cnbr=48900&enhanced=Y
CSCI 49000-NLP,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CSCI&cnbr=49000&enhanced=Y
CSCI 49500,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CSCI&cnbr=49500&enhanced=Y
CS 50200,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=50200&enhanced=Y
CS 50300,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=50300&enhanced=Y
CS 51400,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=51400&enhanced=Y
CS 52300,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=52300&enhanced=Y
CS 52500,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=52500&enhanced=Y
CS 52700,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=52700&enhanced=Y
CS 52800,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=52800&enhanced=Y
CS 53000,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=53000&enhanced=Y
CS 53500,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=53500&enhanced=Y
CS 53600,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=53600&enhanced=Y
CS 54100,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=54100&enhanced=Y
CS 55100,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=55100&enhanced=Y
CS 55800,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=55800&enhanced=Y
CS 56500,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=56500&enhanced=Y
CS 57800,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=57800&enhanced=Y
CS 58000,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=58000&enhanced=Y
CS 58400,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=58400&enhanced=Y
CS 58500,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=58500&enhanced=Y
CS 58700,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=58700&enhanced=Y
CS 59100-SEC,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=59100&enhanced=Y
CS 59200-AAS,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=59200&enhanced=Y
CS 59200-CI1,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=59200&enhanced=Y
CS 59200-EAI,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=59200&enhanced=Y
CS 59200-MLI,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=59200&enhanced=Y
CS 59200-MUC,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=59200&enhanced=Y
CS 59200-QCS,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=59200&enhanced=Y
CS 59200-VBD,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=59200&enhanced=Y
CS 59300-CII,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=59300&enhanced=Y
CS 59300-PCA,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=59300&enhanced=Y
CS 59300-SER,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=59300&enhanced=Y
CS 59300-TML,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=59300&enhanced=Y
CS 61500,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=61500&enhanced=Y
CS Seminars,https://www.cs.purdue.edu/research/seminars.html
